true_label,predicted_label,video_name,label_dataset
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_0.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_1.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_12.avi_part2,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_18.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_18.avi_part3,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_18.avi_part5,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_18.avi_part7,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_18.avi_part11,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_26.avi_part6,normal_DMD
normal,text,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_27.avi_part2,normal_DMD
normal,text,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_27.avi_part4,normal_DMD
normal,text,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_3.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_12.avi_part2,normal_DMD
normal,text,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_14.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_14.avi_part3,normal_DMD
normal,text,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_15.avi_part3,normal_DMD
normal,phonecall,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_6.avi_part1,normal_DMD
normal,text,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_8.avi_part3,normal_DMD
normal,text,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_8.avi_part5,normal_DMD
normal,phonecall,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_9.avi_part4,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_11.avi_part5,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_20.avi_part3,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_25.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_25.avi_part3,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_29.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_3.avi_part4,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_30.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_5.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_6.avi_part5,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_7.avi_part2,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_7.avi_part4,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_7.avi_part6,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_8.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_8.avi_part3,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_9.avi_part2,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_0.avi_part2,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_0.avi_part6,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_10.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_12.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_12.avi_part3,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_13.avi_part5,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_19.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_2.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_2.avi_part3,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_2.avi_part5,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_23.avi_part8,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_23.avi_part10,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_3.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_9.avi_part2,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_9.avi_part4,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_9.avi_part6,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_0.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_0.avi_part3,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_0.avi_part5,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_1.avi_part2,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_1.avi_part4,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_1.avi_part6,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_11.avi_part2,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_11.avi_part4,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_12.avi_part2,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_12.avi_part4,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_13.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_13.avi_part3,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_13.avi_part5,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_13.avi_part9,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_14.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_14.avi_part3,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_14.avi_part5,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_15.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_15.avi_part3,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_15.avi_part5,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_19.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_19.avi_part3,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_2.avi_part2,normal_DMD
