true_label,predicted_label,video_name,label_dataset
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_0.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_13.avi_part2,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_14.avi_part2,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_18.avi_part10,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_18.avi_part2,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_24.avi_part2,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_26.avi_part3,normal_DMD
normal,phonecall,gE-28(File18)_s1_face_2019-03-15-10_23_30_28_27.avi_part2,normal_DMD
normal,phonecall,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_1.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_12.avi_part3,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_13.avi_part1,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_4.avi_part3,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_7.avi_part4,normal_DMD
normal,phonecall,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_8.avi_part2,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_13.avi_part2,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_13.avi_part6,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_23.avi_part10,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_23.avi_part6,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_23.avi_part9,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-03-04-14_54_55_22_3.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_11.avi_part4,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_12.avi_part2,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_15.avi_part4,normal_DMD
normal,phonecall,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_2.avi_part4,normal_DMD
normal,phonecall,gF-22(File21)_s2_face_2019-03-04-14_47_01_22_1.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s3_face_2019-04-09-11_55_31_22_1.avi_part2,normal_DMD
normal,phonecall,gF-22(File21)_s4_face_2019-03-20-09_53_15_22_20.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s4_face_2019-03-20-09_53_15_22_24.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s4_face_2019-03-20-09_53_15_22_28.avi_part1,normal_DMD
normal,phonecall,gF-22(File21)_s4_face_2019-03-20-09_53_15_22_7.avi_part2,normal_DMD
normal,phonecall,gF-22(File21)_s4_face_2019-03-25-14_22_00_22_17.avi_part1,normal_DMD
normal,phonecall,gZ-33(File27)_s1_face_2019-04-08-10_08_19_33_21.avi_part3,normal_DMD
normal,phonecall,gZ-33(File27)_s1_face_2019-04-08-10_08_19_33_21.avi_part6,normal_DMD
normal,phonecall,gZ-33(File27)_s1_face_2019-04-08-10_08_19_33_22.avi_part2,normal_DMD
normal,phonecall,gZ-33(File27)_s1_face_2019-04-08-10_08_19_33_28.avi_part1,normal_DMD
normal,phonecall,gZ-33(File27)_s1_face_2019-04-08-16_18_54_33_14.avi_part1,normal_DMD
normal,phonecall,gZ-33(File27)_s1_face_2019-04-08-16_18_54_33_28.avi_part1,normal_DMD
normal,phonecall,gZ-33(File27)_s1_face_2019-04-08-16_18_54_33_29.avi_part1,normal_DMD
normal,phonecall,gZ-33(File27)_s1_face_2019-04-08-16_18_54_33_31.avi_part2,normal_DMD
normal,phonecall,gZ-33(File27)_s1_face_2019-04-08-16_18_54_33_37.avi_part1,normal_DMD
normal,phonecall,gZ-33(File27)_s1_face_2019-04-08-16_18_54_33_37.avi_part3,normal_DMD
normal,phonecall,gZ-33(File27)_s2_face_2019-04-08-09_59_25_33_5.avi_part1,normal_DMD
normal,phonecall,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_16.avi_part3,normal_DMD
normal,phonecall,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_18.avi_part1,normal_DMD
