label,video_name,label_dataset,predicted_label
normal,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_1.avi_part3,normal_DMD,text
normal,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_14.avi_part4,normal_DMD,text
normal,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_14.avi_part6,normal_DMD,text
normal,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_11.avi_part5,normal_DMD,text
normal,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_20.avi_part1,normal_DMD,text
normal,gF-22(File21)_s1_face_2019-04-09-11_57_30_22_1.avi_part1,normal_DMD,text
normal,gF-22(File21)_s2_face_2019-03-04-14_47_01_22_5.avi_part4,normal_DMD,text
normal,gF-22(File21)_s2_face_2019-04-09-11_41_13_22_3.avi_part1,normal_DMD,text
normal,gF-22(File21)_s2_face_2019-04-09-11_41_13_22_6.avi_part8,normal_DMD,text
normal,gF-22(File21)_s3_face_2019-04-29-10_06_23_22_0.avi_part1,normal_DMD,text
normal,gF-22(File21)_s4_face_2019-03-20-09_53_15_22_13.avi_part1,normal_DMD,text
normal,gF-22(File21)_s4_face_2019-03-20-09_53_15_22_16.avi_part1,normal_DMD,text
normal,gF-22(File21)_s4_face_2019-03-20-09_53_15_22_5.avi_part3,normal_DMD,text
normal,gF-22(File21)_s4_face_2019-03-25-14_22_00_22_0.avi_part4,normal_DMD,text
normal,gF-22(File21)_s4_face_2019-03-25-14_22_00_22_11.avi_part6,normal_DMD,text
normal,gF-22(File21)_s4_face_2019-03-25-14_22_00_22_17.avi_part2,normal_DMD,text
normal,gF-22(File21)_s4_face_2019-03-25-14_22_00_22_2.avi_part3,normal_DMD,text
normal,gZ-33(File27)_s1_face_2019-04-08-16_18_54_33_18.avi_part1,normal_DMD,text
normal,gZ-33(File27)_s1_face_2019-04-08-16_18_54_33_9.avi_part1,normal_DMD,text
normal,gZ-33(File27)_s2_face_2019-04-08-09_59_25_33_7.avi_part6,normal_DMD,text
normal,gZ-33(File27)_s3_face_2019-04-04-09_33_20_33_3.avi_part1,normal_DMD,text
normal,gZ-33(File27)_s4_face_2019-04-02-09_08_46_33_13.avi_part4,normal_DMD,text
normal,gZ-33(File27)_s4_face_2019-04-02-09_08_46_33_21.avi_part1,normal_DMD,text
normal,gZ-33(File27)_s4_face_2019-04-02-09_08_46_33_27.avi_part1,normal_DMD,text
normal,gZ-33(File27)_s4_face_2019-04-02-09_08_46_33_30.avi_part3,normal_DMD,text
normal,gZ-37(File31)_s2_face_2019-04-08-15_45_15_37_0.avi_part8,normal_DMD,text
normal,gZ-37(File31)_s2_face_2019-04-08-15_45_15_37_8.avi_part5,normal_DMD,text
normal,gZ-37(File31)_s4_face_2019-04-03-15_40_42_37_2.avi_part3,normal_DMD,text
phonecall,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_0.avi_part18,phonecall_DMD,text
phonecall,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_1.avi_part7,phonecall_DMD,text
phonecall,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_1.avi_part21,phonecall_DMD,text
phonecall,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_1.avi_part22,phonecall_DMD,text
phonecall,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_1.avi_part7,phonecall_DMD,text
phonecall,gZ-33(File27)_s4_face_2019-04-03-09_22_03_33_2.avi_part16,phonecall_DMD,text
phonecall,gZ-37(File31)_s2_face_2019-04-08-15_45_15_37_1.avi_part14,phonecall_DMD,text
yawn,mirror33-FemaleNoGlasses-Yawning-clip-0_part1,yawn_yawDD_0309,text
yawn,mirror33-FemaleNoGlasses-Yawning-clip-0_part2,yawn_yawDD_0309,text
