label,video_name,label_dataset,predicted_label
text,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_1.avi_part5,text_DMD,normal
text,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_1.avi_part6,text_DMD,normal
text,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_2.avi_part10,text_DMD,normal
text,gE-28(File18)_s2_face_2019-03-15-10_12_30_28_2.avi_part9,text_DMD,normal
text,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_0.avi_part6,text_DMD,normal
text,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_0.avi_part7,text_DMD,normal
text,gE-28(File18)_s4_face_2019-03-21-10_19_50_28_2.avi_part2,text_DMD,normal
text,gF-22(File21)_s2_face_2019-03-04-14_47_01_22_1.avi_part2,text_DMD,normal
text,gF-22(File21)_s2_face_2019-04-09-11_41_13_22_0.avi_part1,text_DMD,normal
text,gF-22(File21)_s2_face_2019-04-09-11_41_13_22_1.avi_part1,text_DMD,yawn
text,gF-22(File21)_s4_face_2019-03-20-09_53_15_22_0.avi_part3,text_DMD,normal
text,gF-22(File21)_s4_face_2019-03-20-09_53_15_22_0.avi_part5,text_DMD,normal
text,gF-22(File21)_s4_face_2019-03-20-09_53_15_22_1.avi_part6,text_DMD,normal
text,gF-22(File21)_s4_face_2019-03-25-14_22_00_22_0.avi_part4,text_DMD,normal
text,gF-22(File21)_s4_face_2019-03-25-14_22_00_22_0.avi_part5,text_DMD,normal
text,gF-22(File21)_s4_face_2019-03-25-14_22_00_22_0.avi_part6,text_DMD,normal
text,gF-22(File21)_s4_face_2019-03-25-14_22_00_22_1.avi_part2,text_DMD,normal
text,gF-22(File21)_s4_face_2019-03-25-14_22_00_22_1.avi_part7,text_DMD,normal
text,gF-22(File21)_s4_face_2019-03-25-14_22_00_22_1.avi_part8,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-09_59_25_33_0.avi_part1,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-09_59_25_33_0.avi_part2,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-09_59_25_33_0.avi_part6,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-09_59_25_33_0.avi_part7,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-09_59_25_33_1.avi_part6,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_0.avi_part10,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_0.avi_part6,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_0.avi_part7,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_0.avi_part9,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_1.avi_part3,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_1.avi_part4,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_1.avi_part5,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_1.avi_part6,text_DMD,normal
text,gZ-33(File27)_s2_face_2019-04-08-16_09_44_33_1.avi_part7,text_DMD,normal
text,gZ-33(File27)_s4_face_2019-04-02-09_08_46_33_0.avi_part7,text_DMD,normal
text,gZ-33(File27)_s4_face_2019-04-02-09_08_46_33_0.avi_part9,text_DMD,normal
text,gZ-33(File27)_s4_face_2019-04-02-09_08_46_33_1.avi_part4,text_DMD,normal
text,gZ-33(File27)_s4_face_2019-04-03-09_22_03_33_0.avi_part2,text_DMD,normal
text,gZ-33(File27)_s4_face_2019-04-03-09_22_03_33_1.avi_part1,text_DMD,normal
text,gZ-33(File27)_s4_face_2019-04-03-09_22_03_33_3.avi_part13,text_DMD,normal
text,gZ-33(File27)_s4_face_2019-04-03-09_22_03_33_3.avi_part6,text_DMD,normal
text,gZ-37(File31)_s2_face_2019-04-08-15_45_15_37_1.avi_part10,text_DMD,normal
text,gZ-37(File31)_s4_face_2019-04-03-15_40_42_37_1.avi_part7,text_DMD,normal
