epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,521.829,2.39923,3.20478,1.2347,0.90291,0.73333,0.79913,0.29415,0.22495,2.07252,0.12608,0.000659933,0.000659933,0.000659933
2,554.749,2.10314,1.7645,1.03337,0.67871,0.66393,0.71542,0.23311,0.24201,0.3742,0.13403,0.00129377,0.00129377,0.00129377
3,589.712,2.1016,1.64986,1.01336,0.74084,0.47619,0.52126,0.16662,0.22781,1.8999,0.13575,0.0018946,0.0018946,0.0018946
4,625.716,2.26291,1.62472,1.12187,0.08264,0.12381,0.02483,0.00462,0.39426,649.487,0.18299,0.0018515,0.0018515,0.0018515
5,661.795,2.14507,1.83344,1.065,0.67222,0.50786,0.58143,0.19285,0.22587,3.00165,0.12914,0.001802,0.001802,0.001802
6,695.771,2.30304,1.66976,1.10968,0.82351,0.71104,0.80018,0.32765,0.20682,0.2024,0.1228,0.0017525,0.0017525,0.0017525
7,734.848,1.95452,1.53214,1.0258,0.90013,0.75238,0.88564,0.35781,0.22905,0.21848,0.13733,0.001703,0.001703,0.001703
8,773.86,2.05344,1.44673,1.07764,0.80286,0.71429,0.79093,0.2868,0.19532,1.23131,0.11716,0.0016535,0.0016535,0.0016535
9,807.806,2.07173,1.34736,1.01283,0.73818,0.68571,0.81229,0.32514,0.20051,0.2017,0.11912,0.001604,0.001604,0.001604
10,843.101,1.90736,1.27981,0.98111,0.94129,0.82857,0.90429,0.37776,0.19983,0.31651,0.11932,0.0015545,0.0015545,0.0015545
11,881.094,1.94184,1.36934,0.98238,0.87327,0.74286,0.88523,0.32447,0.18864,0.1297,0.11864,0.001505,0.001505,0.001505
12,914.811,2.06547,1.33906,1.06621,0.87191,0.81905,0.89561,0.312,0.23052,0.14539,0.12866,0.0014555,0.0014555,0.0014555
13,949.755,1.96908,1.24556,1.02341,0.88963,0.90476,0.9273,0.38766,0.19086,0.36875,0.11602,0.001406,0.001406,0.001406
14,986.837,1.96338,1.18404,1.02646,0.93072,0.87619,0.95103,0.39254,0.19295,0.69113,0.11648,0.0013565,0.0013565,0.0013565
15,1024.6,1.96944,1.20852,1.03146,0.82183,0.92254,0.92699,0.39913,0.18085,0.18226,0.11093,0.001307,0.001307,0.001307
16,1062.56,1.95219,1.18492,0.98616,0.85512,0.84318,0.9159,0.39083,0.18966,0.11554,0.11455,0.0012575,0.0012575,0.0012575
17,1095.99,1.85163,1.16806,0.98365,0.91439,0.84762,0.92378,0.38348,0.17622,0.19392,0.11199,0.001208,0.001208,0.001208
18,1130.66,1.79174,1.17961,0.93174,0.93108,0.90061,0.95606,0.38106,0.1893,0.19323,0.11584,0.0011585,0.0011585,0.0011585
19,1164.42,1.70873,0.99903,0.90877,0.96537,0.94286,0.97952,0.43526,0.19914,0.22039,0.12198,0.001109,0.001109,0.001109
20,1202,1.83839,1.1344,0.97647,0.98183,0.90476,0.98023,0.41336,0.21693,0.20475,0.12194,0.0010595,0.0010595,0.0010595
21,1235.25,1.6752,0.97082,0.93309,0.93685,0.91429,0.93323,0.4303,0.18741,0.21052,0.11302,0.00101,0.00101,0.00101
22,1269.67,1.80618,0.9968,0.96472,0.90586,0.86667,0.93227,0.42847,0.20773,0.1803,0.12413,0.0009605,0.0009605,0.0009605
23,1303.2,1.72722,1.009,0.95218,0.94904,0.91429,0.96808,0.42799,0.18054,0.10454,0.10943,0.000911,0.000911,0.000911
24,1338.12,1.62066,0.95716,0.90538,0.95922,0.91429,0.9671,0.45852,0.16656,0.25882,0.10919,0.0008615,0.0008615,0.0008615
25,1374.37,1.63294,0.9157,0.91709,0.95961,0.97143,0.98314,0.46866,0.16426,0.0826,0.10874,0.000812,0.000812,0.000812
26,1411.59,1.6462,0.87726,0.91167,0.96311,0.94286,0.97047,0.4659,0.17527,0.09587,0.10982,0.0007625,0.0007625,0.0007625
27,1444.97,1.62482,0.86003,0.89637,0.96945,0.93333,0.96549,0.48435,0.15652,0.09141,0.10622,0.000713,0.000713,0.000713
28,1482.21,1.5971,0.96599,0.92033,0.97741,0.95238,0.98682,0.46539,0.1931,0.08968,0.11896,0.0006635,0.0006635,0.0006635
29,1515.82,1.50955,0.86503,0.87008,0.97002,0.98095,0.98416,0.48065,0.18376,0.10541,0.11523,0.000614,0.000614,0.000614
30,1549.93,1.51759,0.873,0.87052,0.98014,0.98095,0.98855,0.51466,0.16696,0.08691,0.10648,0.0005645,0.0005645,0.0005645
31,1587.95,1.26318,0.64485,0.8004,0.96165,0.95519,0.9818,0.49759,0.16491,0.07103,0.10694,0.000515,0.000515,0.000515
32,1620.45,1.35375,0.67223,0.85367,0.99038,0.98023,0.99212,0.48788,0.17419,0.09712,0.10893,0.0004655,0.0004655,0.0004655
33,1654.31,1.31367,0.60054,0.84196,0.98071,0.96815,0.97902,0.48919,0.1743,0.07479,0.10894,0.000416,0.000416,0.000416
34,1686.64,1.20304,0.61934,0.8003,0.95153,0.98095,0.98504,0.50255,0.17984,0.15155,0.11171,0.0003665,0.0003665,0.0003665
35,1719.14,1.12581,0.54279,0.77234,0.98047,0.98095,0.98255,0.51261,0.18258,0.06897,0.11321,0.000317,0.000317,0.000317
36,1752.54,1.19809,0.56999,0.84509,0.98095,0.98075,0.98709,0.50967,0.18176,0.07208,0.10993,0.0002675,0.0002675,0.0002675
37,1784.86,1.24005,0.565,0.84568,0.98092,0.97944,0.98491,0.51124,0.17758,0.06735,0.10806,0.000218,0.000218,0.000218
38,1818.45,1.15301,0.56413,0.79525,0.98054,0.98095,0.98263,0.51387,0.18244,0.06709,0.11022,0.0001685,0.0001685,0.0001685
39,1851.48,1.09194,0.51346,0.79797,0.98094,0.98024,0.98131,0.52306,0.17709,0.06724,0.10933,0.000119,0.000119,0.000119
40,1887.95,1.00586,0.50259,0.74931,0.97985,0.98095,0.98379,0.51359,0.18024,0.06745,0.10932,6.95e-05,6.95e-05,6.95e-05
